E l=0 l=1 l=2 l=3
0.5 4.1110773279965462 2.4979486829585281E-003 4.3342277236377087E-007 5.7769054143149435E-011
1.0 3.9716801177679479 9.0068728307319927E-003 6.0681869618266756E-006 3.1222054834067647E-009
1.5 3.8410302872435449 1.8342336591150993E-002 2.6982670094374967E-005 3.0176357288131799E-008
2.0 3.7183208101316469 2.9624620424965584E-002 7.5170593504633704E-005 1.4451248719979994E-007
2.5 3.6028419811605148 4.2197705353930325E-002 1.6231660734552245E-004 4.7185450554492596E-007
3.0 3.4939670960502172 5.5571285808285624E-002 2.9864481730632942E-004 1.2108010469553914E-006
3.5 3.3911405591381505 6.9378776997042715E-002 4.9241559272072749E-004 2.6337347942598152E-006
4.0 3.2938680253654660 8.3346584695203993E-002 7.4980292181982332E-004 5.0804012484236867E-006
4.5 3.2017081139797430 9.7271404399856889E-002 1.0749847667102606E-003 8.9467340042279547E-006
5.0 3.1142654624506156 0.11100330979474285 1.4703428127382137E-003 1.4671190176377354E-005
5.5 3.0311848310752723 0.12443305839141648 1.9367087288090310E-003 2.2720334266524507E-005
6.0 2.9521461133273270 0.13748249803166901 2.4736198723847463E-003 3.3574883196763656E-005
6.5 2.8768600577541465 0.15009727300700476 3.0795636168642676E-003 4.7716981058099554E-005
7.0 2.8050646226412352 0.16224124893997344 3.7521995754319463E-003 6.5619129488857065E-005
7.5 2.7365218182578048 0.17389223154239314 4.4885551583399904E-003 8.7734951918885199E-005
8.0 2.6710149997314598 0.18503866573648275 5.2851935528340742E-003 1.1449180112948668E-004
8.5 2.6083465015815324 0.19567708209371762 6.1383552815761650E-003 1.4628511172375431E-004
9.0 2.5483355981260045 0.20581011599793264 7.0440755701990394E-003 1.8347433632199866E-004
9.5 2.4908167067229834 0.21544496794952048 7.9982802195935690E-003 2.2638027338703129E-004
10.0 2.4356378320155994 0.22459220510469652 8.9968627839317819E-003 2.7528358513258168E-004
10.5 2.3826591824793932 0.23326482797502751 1.0035745747007373E-002 3.3042430877534964E-004
11.0 2.3317519699416622 0.24147754365042390 1.1110928178875178E-002 3.9200217736229463E-004
11.5 2.2827973336951906 0.24924620072486983 1.2218522089946542E-002 4.6017758423777717E-004
12.0 2.2356854015472298 0.25658735078799555 1.3354779428428009E-002 5.3507304497330758E-004
12.5 2.1903144453880610 0.26351790955078408 1.4516111391163142E-002 6.1677503034829946E-004
13.0 2.1465901414282444 0.27005489624449158 1.5699101490302576E-002 7.0533606344157663E-004
